Green Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,G06K,G01V,G02B,G06F,H01L,H04N,G06T,G01B,G02F,A61K,C12Q,G05B,G06N,B07C,C12N,C23F,A01G,A61P,B01L,B32B,B64B,C07D,C07F,C08K,C09D,C09K,E21B,G01F,G01R,G01T,G08B,G09G,H01S,H04B,H04W,,,,,,,,,,,,,
Número,37,29,21,17,11,10,8,7,7,5,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,G01J,G06K,A61B,G02B,G01V,G06F,H01L,H04N,B82Y,G06T,G02F,B05D,B07C,B32B,C12N,C12Q,G01B,G08B,A61F,B01L,B22F,B64G,B81C,B82B,C01B,C07C,C08H,C09B,C09D,C09J,C12P,E21B,G01S,G03B,G09G,H04B,,,,,,,,,,,,,,
Número,26,24,18,12,10,8,7,7,6,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
